customer_id,plan_type,is_family_plan,avg_monthly_bill,total_revenue_12m,tenure_months,customer_age,customer_region,occupation_type,income_bracket,avg_monthly_data_usage_gb,avg_monthly_voice_minutes,avg_monthly_sms,roaming_usage_minutes,international_usage_minutes,value_added_services_subscribed,plan_category,contract_length_months,discounts_or_offers_applied,is_5g_plan,num_lines_in_account,loyalty_score,app_login_frequency,reward_points_balance,wallet_balance,avg_topup_amount,topup_frequency,financial_stress_index,cost_overrun_score,churn_risk_score,segment_label
C0001,prepaid,0,349.9912838706317,4292.9561379442,21,33,east,salaried,lower_middle,4.9773649480194635,53,99,14.0,22.0,0,standard,1,1,1,1,2,21,7434,166.93476925358553,1493.5826593104077,0,0.9475584322351955,0.7154863189764872,0.3427304787156593,habitual_defaulter
C0002,postpaid,0,751.6685531040621,8818.3647379506,76,42,south,salaried,low,41.122401456222214,2246,701,3.0,1.0,0,basic,6,0,1,1,2,0,12732,1809.0986743183419,1760.1928369096454,26,0.8629341681774184,0.23640170352499368,0.29232541780035637,habitual_defaulter
C0003,postpaid,0,1117.0586022405228,13281.663708346698,22,63,metro,unemployed,lower_middle,56.012232570741084,1201,18,43.0,6.0,0,standard,1,0,0,2,6,9,25338,1307.8054441419683,1456.411954231131,10,0.8192813244286852,0.06564610978423757,0.25704982768367757,habitual_defaulter
C0004,prepaid,0,277.32674005701466,3316.297217107035,27,64,metro,student,lower_middle,9.668312829345533,90,605,27.0,19.0,1,standard,24,0,0,1,3,14,6840,1780.6796395195286,842.4064154789789,28,0.7320744139542797,0.8565942427140758,0.737013267819434,habitual_defaulter
C0005,prepaid,0,1396.5626556804682,16827.8021700572,85,74,south,unemployed,lower_middle,57.20038275032779,2686,647,16.0,2.0,1,standard,6,0,1,1,4,30,37208,3266.072431218538,1617.8622017897833,28,0.7167030632839312,0.590404805388185,0.995068633512388,habitual_defaulter
C0006,prepaid,1,507.39862186440035,6098.635422174557,79,20,east,salaried,upper_middle,30.463939738921887,2487,158,6.0,10.0,0,standard,12,1,1,2,2,2,3162,1477.3847725501455,909.2791911679585,12,0.7504090030750771,0.8118503190821841,0.6410750122625624,habitual_defaulter
C0007,prepaid,0,318.5368727362173,3855.609449515137,57,51,south,salaried,lower_middle,9.775348066660246,1534,608,2.0,0.0,1,basic,24,1,1,3,6,29,5712,3597.083178236127,1999.5597989537564,15,0.4935421574704415,0.9398115049733535,0.8515445167558435,occasional_defaulter
C0008,postpaid,0,826.1407257066152,10136.822904342363,82,20,north,salaried,upper_middle,33.79039380531005,1008,751,27.0,5.0,0,premium,3,0,0,1,3,36,22605,4366.278414930611,612.2071981927824,13,0.04489697755229494,0.47867018749730395,0.47220431503548277,habitual_defaulter
C0009,postpaid,0,426.0045542584344,4210.214335563543,10,58,metro,self_employed,upper_middle,37.23593284524893,1219,513,20.0,8.0,0,basic,24,0,0,3,9,12,30726,3584.061814270131,156.18015460687246,22,0.1797472476320302,0.6890769271260039,0.18077494154901996,occasional_defaulter
C0010,postpaid,0,520.632713252692,6282.963527701421,22,46,west,self_employed,lower_middle,28.180014484847188,2892,264,34.0,6.0,0,premium,12,0,0,1,4,8,34060,3393.748759246719,357.86103625688537,13,0.3808622011324049,0.6473309746431619,0.16787472379666457,habitual_defaulter
