customer_id,plan_type,is_family_plan,avg_monthly_bill,total_revenue_12m,late_payments_12m,missed_payments_12m,max_days_late,tenure_months,num_bills,num_payments_on_time_12m,num_payments_late_12m,late_payment_ratio,missed_payment_ratio,avg_payment_delay_days,last_payment_status,last_payment_delay_days,days_overdue_current_bill,is_currently_overdue,payment_method,auto_pay_enabled,billing_cycle_day,historical_billing_disputes,customer_age,customer_region,occupation_type,income_bracket,account_type,num_dependents,avg_monthly_data_usage_gb,avg_monthly_voice_minutes,avg_monthly_sms,international_usage_minutes,roaming_usage_minutes,value_added_services_subscribed,plan_category,contract_length_months,discounts_or_offers_applied,plan_change_count_last_12m,is_5g_plan,num_lines_in_account,num_support_calls_12m,complaint_count_12m,issue_type_majority,refund_requests_12m,dispute_count_12m,loyalty_score,app_login_frequency_monthly,reward_points_balance,renewal_rate,credit_score_range,wallet_balance,avg_topup_amount,topup_frequency,max_payment_delay_days_12m,num_bills_30plus_days_late,num_bills_60plus_days_late,days_since_last_payment,consecutive_missed_payments_max,current_outstanding_balance,segment_label
C8998,postpaid,1,1420.03,17024.05,0,1,50,40,12,11,0,0.0,0.08,3.4,missed,66,42,1,credit_card,1,12,0,45,rural,salaried,low,SME,5,57.5,1345,856,5.0,3.0,0,basic,12,0,1,0,2,0,1,other,0,0,10,41,46730,0.35,fair,1007.01,253.91,11,50,1,0,108,1,32222.16,occasional_defaulter
C5335,postpaid,1,1459.89,17466.97,2,0,27,83,12,10,2,0.17,0.0,1.0,on_time,0,29,1,cash,1,27,0,22,east,unemployed,high,individual,0,85.8,2633,866,2.0,1.0,0,basic,1,0,0,0,2,2,0,other,0,0,10,12,74130,0.18,fair,3326.92,99.87,18,27,0,0,7,0,359.84,critical
C7588,postpaid,0,3000.0,36051.27,1,0,19,38,12,11,1,0.08,0.0,1.4,on_time,0,6,1,cash,1,18,1,75,north,unemployed,low,individual,4,149.0,2402,200,10.0,27.0,0,premium,6,1,0,0,1,0,1,billing,0,0,6,19,34764,0.76,good,2579.17,1020.34,24,19,0,0,11,0,52.54,critical
C7160,postpaid,0,379.01,4664.18,2,0,28,75,12,10,2,0.17,0.0,1.9,late,21,10,1,credit_card,1,24,0,61,north,salaried,low,individual,3,1.0,2964,41,6.0,13.0,0,basic,6,0,0,1,1,3,0,billing,0,0,7,36,56994,0.78,fair,1763.96,530.77,6,28,0,0,22,0,2633.23,critical
C1101,postpaid,0,1052.83,12587.54,1,0,16,19,12,11,1,0.08,0.0,1.8,on_time,0,17,1,cash,0,7,0,51,metro,unemployed,upper_middle,individual,3,49.8,1330,487,18.0,48.0,0,basic,6,0,1,1,1,1,0,network,0,0,8,53,67720,0.2,good,710.81,434.74,27,16,0,0,21,0,3025.86,occasional_defaulter
C8448,postpaid,1,821.57,8242.0,1,1,44,10,10,8,1,0.1,0.1,6.2,missed,77,23,1,bank_transfer,1,11,1,63,east,salaried,lower_middle,individual,3,51.9,2644,449,12.0,49.0,1,basic,1,1,0,0,3,3,0,network,0,0,7,46,1953,0.13,fair,955.11,624.92,15,44,2,0,110,1,29475.06,occasional_defaulter
C6794,postpaid,0,1187.56,3584.79,2,1,51,3,3,0,2,0.67,0.33,28.6,on_time,0,56,1,bank_transfer,1,4,0,26,metro,salaried,lower_middle,corporate,1,44.0,1786,276,39.0,0.0,0,basic,3,0,0,1,2,3,1,network,0,0,10,4,99240,0.16,good,1439.8,1626.66,12,51,3,0,15,1,36547.43,critical
C1624,postpaid,1,2448.13,29388.67,3,0,28,68,12,9,3,0.25,0.0,4.4,on_time,0,42,1,UPI,0,1,0,61,north,salaried,upper_middle,individual,1,115.8,934,787,15.0,29.0,1,premium,12,0,0,0,4,4,0,billing,0,0,8,52,73504,0.45,good,2785.25,1351.51,10,28,0,0,8,0,1058.63,habitual_defaulter
C9971,postpaid,0,442.46,5264.46,0,0,0,90,12,12,0,0.0,0.0,0.0,on_time,0,0,0,cash,0,19,3,49,metro,salaried,upper_middle,individual,1,1.0,2349,57,4.0,18.0,1,premium,12,0,0,1,3,4,0,network,1,0,8,49,15344,0.78,good,2839.99,760.41,4,0,0,0,15,0,361.62,critical
C6751,postpaid,0,1405.01,11255.48,0,0,0,8,8,8,0,0.0,0.0,0.0,late,8,0,0,cash,1,1,2,51,south,student,lower_middle,SME,0,82.3,1811,636,2.0,63.0,1,basic,1,0,0,0,1,3,2,other,0,0,6,23,3336,0.86,poor,135.92,1217.14,13,0,0,0,30,0,726.3,occasional_defaulter
C6099,postpaid,0,745.87,8914.64,2,2,104,92,12,8,2,0.17,0.17,11.8,missed,79,22,1,credit_card,0,14,1,30,east,salaried,lower_middle,individual,3,25.9,2016,199,10.0,19.0,0,basic,3,1,0,1,1,1,2,other,0,0,7,40,45038,0.19,good,4366.22,694.91,24,104,4,1,33,2,20888.34,critical
C3621,postpaid,0,1465.29,17664.77,2,0,21,102,12,10,2,0.17,0.0,2.8,late,4,44,1,cash,0,21,1,54,south,salaried,lower_middle,individual,2,87.7,1885,573,4.0,31.0,0,premium,6,1,0,0,1,2,0,other,0,0,5,48,18885,0.35,fair,1058.32,811.08,3,21,0,0,0,0,3541.62,critical
C8436,postpaid,0,200.0,2441.18,0,0,0,106,12,12,0,0.0,0.0,0.0,on_time,0,0,0,bank_transfer,1,22,0,74,west,salaried,low,individual,1,20.4,640,67,7.0,112.0,0,basic,3,1,0,1,2,1,2,network,0,0,10,47,27400,0.82,good,3513.3,330.26,24,0,0,0,18,0,2622.08,occasional_defaulter
C8372,postpaid,0,752.28,9033.23,2,1,85,45,12,9,2,0.17,0.08,6.3,on_time,0,56,1,cash,0,14,0,23,south,salaried,upper_middle,individual,5,46.6,1537,826,23.0,20.0,0,basic,12,0,0,1,2,0,0,billing,0,0,6,32,23400,0.2,poor,4063.82,522.06,30,85,2,2,15,1,35417.42,occasional_defaulter
C3150,postpaid,0,2447.24,29313.69,2,0,27,106,12,10,2,0.17,0.0,3.5,late,28,29,1,bank_transfer,1,7,1,22,north,self_employed,lower_middle,individual,2,120.7,596,556,5.0,15.0,0,premium,24,0,0,1,3,3,0,billing,2,1,7,10,15484,0.65,poor,2561.54,1455.01,8,27,0,0,20,0,2123.32,habitual_defaulter
C2900,postpaid,0,1385.32,16637.92,1,0,25,87,12,11,1,0.08,0.0,1.5,on_time,0,9,1,credit_card,1,9,1,34,rural,salaried,upper_middle,individual,2,61.1,2637,878,30.0,28.0,0,basic,6,0,2,1,1,1,0,network,0,1,8,28,75112,0.54,good,4560.37,416.84,5,25,0,0,27,0,2902.88,critical
C1375,postpaid,0,449.95,5443.52,2,0,2,25,12,10,2,0.17,0.0,3.2,on_time,0,52,1,bank_transfer,1,12,0,38,north,unemployed,lower_middle,individual,2,17.8,983,442,7.0,9.0,1,basic,1,0,1,0,2,2,0,network,0,0,10,22,11560,0.85,fair,838.19,1158.27,17,2,0,0,4,0,4977.69,critical
C0223,postpaid,0,855.1,10267.32,1,0,5,103,12,11,1,0.08,0.0,1.0,on_time,0,24,1,cash,1,27,1,25,north,salaried,upper_middle,individual,1,37.0,2586,187,11.0,29.0,1,standard,24,0,0,0,1,2,0,billing,0,0,7,57,35574,0.94,good,3551.15,983.28,22,5,0,0,1,0,3616.32,occasional_defaulter
C4470,postpaid,1,994.19,11954.81,1,1,50,91,12,10,1,0.08,0.08,4.3,missed,89,22,1,bank_transfer,1,2,0,68,south,retired,low,individual,1,57.3,1164,713,8.0,0.0,1,standard,3,0,0,0,3,3,1,billing,0,0,9,40,84816,0.96,poor,4109.42,1264.52,3,50,2,0,101,1,1924.01,occasional_defaulter
C6333,postpaid,0,314.19,3769.26,0,0,0,118,12,12,0,0.0,0.0,0.0,missed,39,0,0,bank_transfer,1,15,0,37,metro,self_employed,upper_middle,individual,4,19.1,1476,212,2.0,10.0,0,standard,6,1,0,1,2,0,0,billing,0,0,10,1,82540,0.61,good,3177.58,1339.84,3,0,0,0,57,0,2789.54,occasional_defaulter
C8892,postpaid,1,627.47,5660.03,3,0,1,9,9,6,3,0.33,0.0,7.0,on_time,0,14,1,UPI,1,14,1,33,east,student,low,corporate,2,28.2,1825,564,2.0,2.0,0,basic,1,1,0,0,4,4,1,other,0,0,5,45,47530,0.3,good,4241.22,863.66,10,1,0,0,3,0,3939.31,occasional_defaulter
C7141,postpaid,1,521.82,6316.58,2,1,92,111,12,9,2,0.17,0.08,5.7,on_time,0,14,1,bank_transfer,1,26,1,74,rural,salaried,lower_middle,individual,2,27.1,779,247,3.0,9.0,0,standard,24,0,1,0,2,2,1,other,0,0,7,24,24864,0.72,fair,2762.44,1902.3,4,92,3,1,12,1,34491.07,habitual_defaulter
C9480,postpaid,0,622.09,7447.33,0,1,52,94,12,11,0,0.0,0.08,5.0,on_time,0,58,1,cash,0,16,0,46,metro,student,lower_middle,individual,4,28.2,1768,135,5.0,29.0,0,basic,6,0,1,0,4,2,0,other,0,0,6,13,50280,0.14,good,4672.93,282.42,13,52,1,0,29,1,29078.37,occasional_defaulter
C0148,postpaid,0,435.27,786.99,2,0,20,2,2,0,2,1.0,0.0,15.1,late,4,32,1,cash,1,5,2,20,south,salaried,low,individual,4,19.5,775,296,1.0,22.0,0,standard,12,1,1,0,2,1,0,other,0,0,6,13,40638,0.65,fair,588.19,1804.83,4,20,0,0,29,0,2167.59,critical
C4616,postpaid,0,642.04,7629.43,3,1,32,46,12,8,3,0.25,0.08,6.3,on_time,0,46,1,bank_transfer,0,21,2,33,west,student,low,individual,2,22.7,1699,680,1.0,109.0,0,standard,12,1,0,0,1,1,0,network,0,0,8,3,42624,0.21,poor,2673.36,100.48,1,32,1,0,22,1,7168.55,occasional_defaulter
C3316,postpaid,0,1296.17,15533.61,2,0,24,88,12,10,2,0.17,0.0,2.7,on_time,0,53,1,credit_card,0,26,1,48,west,unemployed,upper_middle,individual,3,66.2,2563,845,20.0,41.0,0,basic,6,0,0,1,1,1,0,network,0,0,6,56,53982,0.55,good,974.61,602.07,18,24,0,0,7,0,2755.29,critical
